InvoiceNo,Customer ID,InvoiceDate,StockCode,Description,Category,Quantity,UnitPrice,Discount Applied Order,LineTotal
INV100012,102,20-10-2025,SKU024,Cycling Helmet,Sports & Outdoors,1,31.22,FALSE,31.22
INV100013,102,23-10-2025,SKU029,Desk Organizer,Books & Stationery,4,13.92,FALSE,55.68
INV100013,102,23-10-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,1,50.96,FALSE,50.96
INV100013,102,23-10-2025,SKU008,Denim Jeans,Apparel,4,47.76,FALSE,191.04
INV100013,102,23-10-2025,SKU007,Women's Summer Dress,Apparel,3,37.9,FALSE,113.7
INV100014,102,29-10-2025,SKU016,Moisturizing Face Cream,Beauty & Personal Care,1,15.18,FALSE,15.18
INV100014,102,29-10-2025,SKU024,Cycling Helmet,Sports & Outdoors,2,28.8,FALSE,57.6
INV100014,102,29-10-2025,SKU020,Makeup Kit,Beauty & Personal Care,5,38.67,FALSE,193.35
INV100014,102,29-10-2025,SKU026,Bestselling Novel,Books & Stationery,2,14.15,FALSE,28.3
INV100015,102,03-12-2025,SKU014,Memory Foam Pillow,Home & Kitchen,1,32.13,FALSE,32.13
INV100015,102,03-12-2025,SKU027,Notebook Set (3-pack),Books & Stationery,3,9.1,FALSE,27.3
INV100015,102,03-12-2025,SKU018,Perfume 50ml,Beauty & Personal Care,2,44.36,FALSE,88.72
INV100015,102,03-12-2025,SKU023,Camping Tent 2-Person,Sports & Outdoors,2,80.28,FALSE,160.56
INV100016,102,13-07-2026,SKU019,Electric Toothbrush,Beauty & Personal Care,1,20.02,FALSE,20.02
INV100016,102,13-07-2026,SKU002,Bluetooth Speaker,Electronics,4,34.85,FALSE,139.4
INV100016,102,13-07-2026,SKU001,Wireless Earbuds,Electronics,3,46.94,FALSE,140.82
INV100016,102,13-07-2026,SKU025,Water Bottle 1L,Sports & Outdoors,5,11.56,FALSE,57.8
INV100017,102,25-07-2026,SKU003,Smartwatch,Electronics,2,128.49,FALSE,256.98
INV100018,103,22-02-2026,SKU018,Perfume 50ml,Beauty & Personal Care,3,35.27,TRUE,105.81
INV100018,103,22-02-2026,SKU013,LED Desk Lamp,Home & Kitchen,3,15.62,TRUE,46.86
INV100018,103,22-02-2026,SKU002,Bluetooth Speaker,Electronics,2,31,TRUE,62
INV100018,103,22-02-2026,SKU012,Ceramic Dinner Set,Home & Kitchen,3,48.31,TRUE,144.93
INV100019,103,30-04-2026,SKU016,Moisturizing Face Cream,Beauty & Personal Care,2,12.99,TRUE,25.98
INV100019,103,30-04-2026,SKU018,Perfume 50ml,Beauty & Personal Care,3,36.02,TRUE,108.06
INV100019,103,30-04-2026,SKU030,Sketchbook,Books & Stationery,3,8.22,TRUE,24.66
INV100020,103,03-06-2026,SKU020,Makeup Kit,Beauty & Personal Care,4,39.48,FALSE,157.92
INV100020,103,03-06-2026,SKU017,Hair Dryer,Beauty & Personal Care,5,28.08,FALSE,140.4
INV100021,104,14-08-2025,SKU022,Dumbbell Set 10kg,Sports & Outdoors,3,42.92,FALSE,128.76
INV100021,104,14-08-2025,SKU018,Perfume 50ml,Beauty & Personal Care,2,46.4,FALSE,92.8
INV100021,104,14-08-2025,SKU020,Makeup Kit,Beauty & Personal Care,3,35.87,FALSE,107.61
INV100021,104,14-08-2025,SKU023,Camping Tent 2-Person,Sports & Outdoors,4,77.24,FALSE,308.96
INV100022,104,09-09-2025,SKU016,Moisturizing Face Cream,Beauty & Personal Care,4,16.35,FALSE,65.4
INV100023,104,23-09-2025,SKU010,Winter Jacket,Apparel,1,85.8,FALSE,85.8
INV100023,104,23-09-2025,SKU024,Cycling Helmet,Sports & Outdoors,4,27.43,FALSE,109.72
INV100024,104,28-09-2025,SKU008,Denim Jeans,Apparel,1,47.41,FALSE,47.41
INV100024,104,28-09-2025,SKU016,Moisturizing Face Cream,Beauty & Personal Care,5,16.13,FALSE,80.65
INV100024,104,28-09-2025,SKU014,Memory Foam Pillow,Home & Kitchen,5,31.62,FALSE,158.1
INV100025,104,01-10-2025,SKU026,Bestselling Novel,Books & Stationery,4,13.87,FALSE,55.48
INV100025,104,01-10-2025,SKU002,Bluetooth Speaker,Electronics,1,34.39,FALSE,34.39
INV100025,104,01-10-2025,SKU008,Denim Jeans,Apparel,2,46.83,FALSE,93.66
INV100025,104,01-10-2025,SKU022,Dumbbell Set 10kg,Sports & Outdoors,1,39.57,FALSE,39.57
INV100025,104,01-10-2025,SKU015,Cotton Bedsheet Set,Home & Kitchen,3,33.03,FALSE,99.09
INV100026,104,05-11-2025,SKU017,Hair Dryer,Beauty & Personal Care,1,29.81,FALSE,29.81
INV100026,104,05-11-2025,SKU006,Men's Casual Shirt,Apparel,5,23.92,FALSE,119.6
INV100026,104,05-11-2025,SKU009,Running Shoes,Apparel,1,62.83,FALSE,62.83
INV100027,104,08-11-2025,SKU010,Winter Jacket,Apparel,5,89.89,FALSE,449.45
INV100028,104,12-11-2025,SKU028,Fountain Pen,Books & Stationery,1,16.29,FALSE,16.29
INV100028,104,12-11-2025,SKU023,Camping Tent 2-Person,Sports & Outdoors,5,76.64,FALSE,383.2
INV100028,104,12-11-2025,SKU017,Hair Dryer,Beauty & Personal Care,5,28.66,FALSE,143.3
INV100029,104,02-12-2025,SKU008,Denim Jeans,Apparel,4,41.81,FALSE,167.24
INV100029,104,02-12-2025,SKU021,Yoga Mat,Sports & Outdoors,4,21.52,FALSE,86.08
INV100029,104,02-12-2025,SKU009,Running Shoes,Apparel,4,63.31,FALSE,253.24
INV100030,104,11-12-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,5,54.84,FALSE,274.2
INV100030,104,11-12-2025,SKU022,Dumbbell Set 10kg,Sports & Outdoors,3,42.24,FALSE,126.72
INV100030,104,11-12-2025,SKU027,Notebook Set (3-pack),Books & Stationery,4,9,FALSE,36
INV100031,104,25-12-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,2,58.07,FALSE,116.14
INV100031,104,25-12-2025,SKU019,Electric Toothbrush,Beauty & Personal Care,3,19.48,FALSE,58.44
INV100031,104,25-12-2025,SKU002,Bluetooth Speaker,Electronics,3,35.17,FALSE,105.51
INV100032,104,08-01-2026,SKU001,Wireless Earbuds,Electronics,1,49.18,FALSE,49.18
INV100032,104,08-01-2026,SKU003,Smartwatch,Electronics,5,132.71,FALSE,663.55
INV100032,104,08-01-2026,SKU008,Denim Jeans,Apparel,5,42.67,FALSE,213.35
INV100033,104,11-01-2026,SKU020,Makeup Kit,Beauty & Personal Care,2,34.18,FALSE,68.36
INV100034,104,01-03-2026,SKU024,Cycling Helmet,Sports & Outdoors,5,28.75,FALSE,143.75
INV100035,104,31-05-2026,SKU027,Notebook Set (3-pack),Books & Stationery,1,8.28,FALSE,8.28
INV100035,104,31-05-2026,SKU020,Makeup Kit,Beauty & Personal Care,3,35.68,FALSE,107.04
INV100035,104,31-05-2026,SKU017,Hair Dryer,Beauty & Personal Care,1,28.59,FALSE,28.59
INV100036,104,15-06-2026,SKU021,Yoga Mat,Sports & Outdoors,5,22.41,FALSE,112.05
INV100036,104,15-06-2026,SKU006,Men's Casual Shirt,Apparel,5,26.04,FALSE,130.2
INV100036,104,15-06-2026,SKU005,Laptop Sleeve,Electronics,3,21.28,FALSE,63.84
INV100036,104,15-06-2026,SKU018,Perfume 50ml,Beauty & Personal Care,3,46.18,FALSE,138.54
INV100037,104,24-06-2026,SKU019,Electric Toothbrush,Beauty & Personal Care,4,21.16,FALSE,84.64
INV100037,104,24-06-2026,SKU013,LED Desk Lamp,Home & Kitchen,1,18.66,FALSE,18.66
INV100037,104,24-06-2026,SKU001,Wireless Earbuds,Electronics,1,49.51,FALSE,49.51
INV100037,104,24-06-2026,SKU006,Men's Casual Shirt,Apparel,4,25.61,FALSE,102.44
INV100038,105,15-09-2024,SKU004,USB-C Charging Cable,Electronics,1,9.33,FALSE,9.33
INV100038,105,15-09-2024,SKU002,Bluetooth Speaker,Electronics,4,35.3,FALSE,141.2
INV100039,105,26-10-2024,SKU020,Makeup Kit,Beauty & Personal Care,3,34.25,FALSE,102.75
INV100039,105,26-10-2024,SKU029,Desk Organizer,Books & Stationery,5,14.68,FALSE,73.4
INV100039,105,26-10-2024,SKU030,Sketchbook,Books & Stationery,5,9.37,FALSE,46.85
INV100040,105,09-01-2025,SKU022,Dumbbell Set 10kg,Sports & Outdoors,4,41.74,FALSE,166.96
INV100041,105,24-02-2025,SKU018,Perfume 50ml,Beauty & Personal Care,2,39.89,FALSE,79.78
INV100042,105,03-04-2025,SKU015,Cotton Bedsheet Set,Home & Kitchen,2,36.99,FALSE,73.98
INV100042,105,03-04-2025,SKU013,LED Desk Lamp,Home & Kitchen,3,18.03,FALSE,54.09
INV100042,105,03-04-2025,SKU027,Notebook Set (3-pack),Books & Stationery,1,9.25,FALSE,9.25
INV100042,105,03-04-2025,SKU016,Moisturizing Face Cream,Beauty & Personal Care,3,15.74,FALSE,47.22
INV100042,105,03-04-2025,SKU022,Dumbbell Set 10kg,Sports & Outdoors,1,42.52,FALSE,42.52
INV100043,105,03-05-2025,SKU006,Men's Casual Shirt,Apparel,3,21.51,TRUE,64.53
INV100043,105,03-05-2025,SKU024,Cycling Helmet,Sports & Outdoors,2,22.86,TRUE,45.72
INV100043,105,03-05-2025,SKU020,Makeup Kit,Beauty & Personal Care,4,29.64,TRUE,118.56
INV100043,105,03-05-2025,SKU025,Water Bottle 1L,Sports & Outdoors,3,9.42,TRUE,28.26
INV100044,105,06-05-2025,SKU013,LED Desk Lamp,Home & Kitchen,4,16.6,TRUE,66.4
INV100044,105,06-05-2025,SKU021,Yoga Mat,Sports & Outdoors,2,20.57,TRUE,41.14
INV100044,105,06-05-2025,SKU020,Makeup Kit,Beauty & Personal Care,3,31.9,TRUE,95.7
INV100045,105,25-11-2025,SKU009,Running Shoes,Apparel,3,59.11,TRUE,177.33
INV100045,105,25-11-2025,SKU024,Cycling Helmet,Sports & Outdoors,5,24.8,TRUE,124
INV100045,105,25-11-2025,SKU004,USB-C Charging Cable,Electronics,4,8.27,TRUE,33.08
INV100045,105,25-11-2025,SKU023,Camping Tent 2-Person,Sports & Outdoors,3,63.15,TRUE,189.45
INV100045,105,25-11-2025,SKU029,Desk Organizer,Books & Stationery,5,11.89,TRUE,59.45
INV100046,105,18-01-2026,SKU013,LED Desk Lamp,Home & Kitchen,3,15.71,TRUE,47.13
INV100047,105,10-06-2026,SKU014,Memory Foam Pillow,Home & Kitchen,4,27.62,TRUE,110.48
INV100048,106,26-07-2026,SKU030,Sketchbook,Books & Stationery,2,9.71,FALSE,19.42
INV100048,106,26-07-2026,SKU003,Smartwatch,Electronics,5,130.6,FALSE,653
INV100048,106,26-07-2026,SKU017,Hair Dryer,Beauty & Personal Care,5,29.08,FALSE,145.4
INV100048,106,26-07-2026,SKU028,Fountain Pen,Books & Stationery,2,17.41,FALSE,34.82
INV100049,107,16-10-2025,SKU011,Non-Stick Frying Pan,Home & Kitchen,2,23.55,FALSE,47.1
INV100049,107,16-10-2025,SKU025,Water Bottle 1L,Sports & Outdoors,1,12.86,FALSE,12.86
INV100049,107,16-10-2025,SKU014,Memory Foam Pillow,Home & Kitchen,4,29.67,FALSE,118.68
INV100050,107,23-10-2025,SKU015,Cotton Bedsheet Set,Home & Kitchen,1,32.77,FALSE,32.77
INV100050,107,23-10-2025,SKU001,Wireless Earbuds,Electronics,2,47.96,FALSE,95.92
INV100050,107,23-10-2025,SKU027,Notebook Set (3-pack),Books & Stationery,1,8.37,FALSE,8.37
INV100051,107,27-10-2025,SKU004,USB-C Charging Cable,Electronics,4,9.27,FALSE,37.08
INV100051,107,27-10-2025,SKU003,Smartwatch,Electronics,2,121.91,FALSE,243.82
INV100051,107,27-10-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,4,51.12,FALSE,204.48
INV100051,107,27-10-2025,SKU017,Hair Dryer,Beauty & Personal Care,2,28.88,FALSE,57.76
INV100051,107,27-10-2025,SKU028,Fountain Pen,Books & Stationery,3,16.45,FALSE,49.35
INV100052,107,19-11-2025,SKU004,USB-C Charging Cable,Electronics,2,9.19,FALSE,18.38
INV100052,107,19-11-2025,SKU010,Winter Jacket,Apparel,2,95.21,FALSE,190.42
INV100053,107,22-11-2025,SKU019,Electric Toothbrush,Beauty & Personal Care,1,19.96,FALSE,19.96
INV100054,107,25-11-2025,SKU003,Smartwatch,Electronics,3,137.09,FALSE,411.27
INV100055,107,30-11-2025,SKU027,Notebook Set (3-pack),Books & Stationery,2,7.85,TRUE,15.7
INV100055,107,30-11-2025,SKU020,Makeup Kit,Beauty & Personal Care,5,30.99,TRUE,154.95
INV100055,107,30-11-2025,SKU025,Water Bottle 1L,Sports & Outdoors,4,10.22,TRUE,40.88
INV100055,107,30-11-2025,SKU004,USB-C Charging Cable,Electronics,2,8.12,TRUE,16.24
INV100056,107,10-12-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,3,51.91,FALSE,155.73
INV100056,107,10-12-2025,SKU020,Makeup Kit,Beauty & Personal Care,4,34.85,FALSE,139.4
INV100056,107,10-12-2025,SKU011,Non-Stick Frying Pan,Home & Kitchen,1,24.53,FALSE,24.53
INV100056,107,10-12-2025,SKU001,Wireless Earbuds,Electronics,1,47.5,FALSE,47.5
INV100056,107,10-12-2025,SKU008,Denim Jeans,Apparel,1,41.62,FALSE,41.62
INV100057,107,14-12-2025,SKU030,Sketchbook,Books & Stationery,3,10.1,FALSE,30.3
INV100058,107,11-01-2026,SKU012,Ceramic Dinner Set,Home & Kitchen,3,50.63,FALSE,151.89
INV100058,107,11-01-2026,SKU030,Sketchbook,Books & Stationery,2,10.18,FALSE,20.36
INV100059,107,27-01-2026,SKU026,Bestselling Novel,Books & Stationery,1,14.79,FALSE,14.79
INV100059,107,27-01-2026,SKU027,Notebook Set (3-pack),Books & Stationery,2,9.59,FALSE,19.18
INV100059,107,27-01-2026,SKU018,Perfume 50ml,Beauty & Personal Care,2,42.68,FALSE,85.36
INV100059,107,27-01-2026,SKU015,Cotton Bedsheet Set,Home & Kitchen,5,37.7,FALSE,188.5
INV100059,107,27-01-2026,SKU004,USB-C Charging Cable,Electronics,4,9.77,FALSE,39.08
INV100060,107,17-05-2026,SKU014,Memory Foam Pillow,Home & Kitchen,1,23.48,TRUE,23.48
INV100060,107,17-05-2026,SKU019,Electric Toothbrush,Beauty & Personal Care,4,16.17,TRUE,64.68
INV100060,107,17-05-2026,SKU028,Fountain Pen,Books & Stationery,4,12.99,TRUE,51.96
INV100060,107,17-05-2026,SKU027,Notebook Set (3-pack),Books & Stationery,2,6.82,TRUE,13.64
INV100061,108,20-11-2025,SKU024,Cycling Helmet,Sports & Outdoors,1,29.43,FALSE,29.43
INV100061,108,20-11-2025,SKU023,Camping Tent 2-Person,Sports & Outdoors,5,70.5,FALSE,352.5
INV100061,108,20-11-2025,SKU027,Notebook Set (3-pack),Books & Stationery,4,9.27,FALSE,37.08
INV100061,108,20-11-2025,SKU022,Dumbbell Set 10kg,Sports & Outdoors,1,37.9,FALSE,37.9
INV100061,108,20-11-2025,SKU001,Wireless Earbuds,Electronics,4,53.92,FALSE,215.68
INV100062,108,16-03-2026,SKU014,Memory Foam Pillow,Home & Kitchen,1,27.67,FALSE,27.67
INV100062,108,16-03-2026,SKU015,Cotton Bedsheet Set,Home & Kitchen,3,35.46,FALSE,106.38
INV100062,108,16-03-2026,SKU025,Water Bottle 1L,Sports & Outdoors,5,11.27,FALSE,56.35
INV100063,108,12-06-2026,SKU023,Camping Tent 2-Person,Sports & Outdoors,1,75.42,FALSE,75.42
INV100063,108,12-06-2026,SKU028,Fountain Pen,Books & Stationery,5,17.32,FALSE,86.6
INV100063,108,12-06-2026,SKU013,LED Desk Lamp,Home & Kitchen,1,16.7,FALSE,16.7
INV100064,109,08-10-2024,SKU017,Hair Dryer,Beauty & Personal Care,2,26.89,FALSE,53.78
INV100064,109,08-10-2024,SKU005,Laptop Sleeve,Electronics,4,20.16,FALSE,80.64
INV100065,109,29-11-2024,SKU020,Makeup Kit,Beauty & Personal Care,2,38.33,FALSE,76.66
INV100065,109,29-11-2024,SKU013,LED Desk Lamp,Home & Kitchen,4,18.73,FALSE,74.92
INV100065,109,29-11-2024,SKU006,Men's Casual Shirt,Apparel,3,26.92,FALSE,80.76
INV100065,109,29-11-2024,SKU008,Denim Jeans,Apparel,1,45.09,FALSE,45.09
INV100066,109,02-12-2024,SKU009,Running Shoes,Apparel,1,65.2,FALSE,65.2
INV100066,109,02-12-2024,SKU025,Water Bottle 1L,Sports & Outdoors,3,11.21,FALSE,33.63
INV100066,109,02-12-2024,SKU021,Yoga Mat,Sports & Outdoors,3,23.36,FALSE,70.08
INV100067,110,18-03-2025,SKU026,Bestselling Novel,Books & Stationery,5,14.66,FALSE,73.3
INV100067,110,18-03-2025,SKU006,Men's Casual Shirt,Apparel,3,23.81,FALSE,71.43
INV100068,110,15-04-2025,SKU006,Men's Casual Shirt,Apparel,4,23.08,FALSE,92.32
INV100069,110,30-04-2025,SKU022,Dumbbell Set 10kg,Sports & Outdoors,5,41.39,FALSE,206.95
INV100069,110,30-04-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,2,58.4,FALSE,116.8
INV100070,110,03-05-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,4,55.95,FALSE,223.8
INV100070,110,03-05-2025,SKU001,Wireless Earbuds,Electronics,2,50.64,FALSE,101.28
INV100070,110,03-05-2025,SKU021,Yoga Mat,Sports & Outdoors,2,22.35,FALSE,44.7
INV100070,110,03-05-2025,SKU018,Perfume 50ml,Beauty & Personal Care,3,45.98,FALSE,137.94
INV100071,110,30-09-2025,SKU014,Memory Foam Pillow,Home & Kitchen,1,29.4,FALSE,29.4
INV100071,110,30-09-2025,SKU030,Sketchbook,Books & Stationery,1,9.82,FALSE,9.82
INV100071,110,30-09-2025,SKU023,Camping Tent 2-Person,Sports & Outdoors,4,70.94,FALSE,283.76
INV100072,110,19-10-2025,SKU011,Non-Stick Frying Pan,Home & Kitchen,4,22.4,FALSE,89.6
INV100073,110,29-10-2025,SKU021,Yoga Mat,Sports & Outdoors,4,20.58,FALSE,82.32
INV100074,110,02-01-2026,SKU029,Desk Organizer,Books & Stationery,4,15.9,FALSE,63.6
INV100074,110,02-01-2026,SKU012,Ceramic Dinner Set,Home & Kitchen,2,52.37,FALSE,104.74
INV100075,110,09-02-2026,SKU026,Bestselling Novel,Books & Stationery,1,14.04,FALSE,14.04
INV100075,110,09-02-2026,SKU010,Winter Jacket,Apparel,1,86.53,FALSE,86.53
INV100076,110,12-03-2026,SKU026,Bestselling Novel,Books & Stationery,1,13.95,FALSE,13.95
INV100076,110,12-03-2026,SKU025,Water Bottle 1L,Sports & Outdoors,1,12.28,FALSE,12.28
INV100076,110,12-03-2026,SKU003,Smartwatch,Electronics,5,129.9,FALSE,649.5
INV100077,110,15-03-2026,SKU003,Smartwatch,Electronics,2,125.72,FALSE,251.44
INV100077,110,15-03-2026,SKU007,Women's Summer Dress,Apparel,2,41.68,FALSE,83.36
INV100077,110,15-03-2026,SKU027,Notebook Set (3-pack),Books & Stationery,2,9.57,FALSE,19.14
INV100077,110,15-03-2026,SKU004,USB-C Charging Cable,Electronics,5,10.76,FALSE,53.8
INV100077,110,15-03-2026,SKU029,Desk Organizer,Books & Stationery,4,16.08,FALSE,64.32
INV100078,110,07-04-2026,SKU001,Wireless Earbuds,Electronics,1,47.09,FALSE,47.09
INV100078,110,07-04-2026,SKU005,Laptop Sleeve,Electronics,5,20.16,FALSE,100.8
INV100078,110,07-04-2026,SKU030,Sketchbook,Books & Stationery,2,9.35,FALSE,18.7
INV100078,110,07-04-2026,SKU003,Smartwatch,Electronics,5,132.42,FALSE,662.1
INV100078,110,07-04-2026,SKU028,Fountain Pen,Books & Stationery,5,17.11,FALSE,85.55
INV100079,110,20-05-2026,SKU008,Denim Jeans,Apparel,1,42.54,FALSE,42.54
INV100079,110,20-05-2026,SKU028,Fountain Pen,Books & Stationery,2,17.95,FALSE,35.9
INV100079,110,20-05-2026,SKU003,Smartwatch,Electronics,2,134.88,FALSE,269.76
INV100080,110,03-06-2026,SKU006,Men's Casual Shirt,Apparel,2,24.48,FALSE,48.96
INV100080,110,03-06-2026,SKU028,Fountain Pen,Books & Stationery,5,17.7,FALSE,88.5
INV100080,110,03-06-2026,SKU025,Water Bottle 1L,Sports & Outdoors,3,12.51,FALSE,37.53
INV100081,110,03-07-2026,SKU016,Moisturizing Face Cream,Beauty & Personal Care,4,15.02,FALSE,60.08
INV100082,110,09-07-2026,SKU005,Laptop Sleeve,Electronics,5,18.71,FALSE,93.55
INV100082,110,09-07-2026,SKU004,USB-C Charging Cable,Electronics,2,10.54,FALSE,21.08
INV100082,110,09-07-2026,SKU014,Memory Foam Pillow,Home & Kitchen,2,28.45,FALSE,56.9
INV100082,110,09-07-2026,SKU018,Perfume 50ml,Beauty & Personal Care,4,42.65,FALSE,170.6
INV100082,110,09-07-2026,SKU020,Makeup Kit,Beauty & Personal Care,3,35.48,FALSE,106.44
INV100083,110,12-07-2026,SKU006,Men's Casual Shirt,Apparel,1,26.49,FALSE,26.49
INV100083,110,12-07-2026,SKU025,Water Bottle 1L,Sports & Outdoors,5,11.68,FALSE,58.4
INV100083,110,12-07-2026,SKU012,Ceramic Dinner Set,Home & Kitchen,3,52.78,FALSE,158.34
INV100083,110,12-07-2026,SKU002,Bluetooth Speaker,Electronics,3,33.56,FALSE,100.68
INV100083,110,12-07-2026,SKU028,Fountain Pen,Books & Stationery,2,18.19,FALSE,36.38
INV100084,111,05-02-2025,SKU020,Makeup Kit,Beauty & Personal Care,3,35.14,FALSE,105.42
INV100085,111,11-03-2025,SKU009,Running Shoes,Apparel,5,67.5,FALSE,337.5
INV100085,111,11-03-2025,SKU010,Winter Jacket,Apparel,2,84.99,FALSE,169.98
INV100085,111,11-03-2025,SKU001,Wireless Earbuds,Electronics,3,53.35,FALSE,160.05
INV100086,111,22-03-2025,SKU010,Winter Jacket,Apparel,1,79.44,TRUE,79.44
INV100086,111,22-03-2025,SKU029,Desk Organizer,Books & Stationery,4,13.5,TRUE,54
INV100086,111,22-03-2025,SKU001,Wireless Earbuds,Electronics,4,41.28,TRUE,165.12
INV100086,111,22-03-2025,SKU024,Cycling Helmet,Sports & Outdoors,4,26.8,TRUE,107.2
INV100087,111,07-04-2025,SKU019,Electric Toothbrush,Beauty & Personal Care,4,21.57,FALSE,86.28
INV100087,111,07-04-2025,SKU030,Sketchbook,Books & Stationery,1,9.64,FALSE,9.64
INV100087,111,07-04-2025,SKU003,Smartwatch,Electronics,5,129.12,FALSE,645.6
INV100088,111,23-06-2025,SKU024,Cycling Helmet,Sports & Outdoors,1,23.84,TRUE,23.84
INV100089,111,05-08-2025,SKU013,LED Desk Lamp,Home & Kitchen,4,15.27,TRUE,61.08
INV100090,111,24-08-2025,SKU007,Women's Summer Dress,Apparel,3,42.87,FALSE,128.61
INV100090,111,24-08-2025,SKU003,Smartwatch,Electronics,3,123.28,FALSE,369.84
INV100090,111,24-08-2025,SKU020,Makeup Kit,Beauty & Personal Care,2,38.04,FALSE,76.08
INV100091,111,27-08-2025,SKU022,Dumbbell Set 10kg,Sports & Outdoors,2,35.56,TRUE,71.12
INV100091,111,27-08-2025,SKU018,Perfume 50ml,Beauty & Personal Care,5,39.65,TRUE,198.25
INV100091,111,27-08-2025,SKU020,Makeup Kit,Beauty & Personal Care,3,32.44,TRUE,97.32
INV100091,111,27-08-2025,SKU001,Wireless Earbuds,Electronics,3,41.39,TRUE,124.17
INV100091,111,27-08-2025,SKU008,Denim Jeans,Apparel,2,37.65,TRUE,75.3
INV100092,111,29-11-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,4,55.53,FALSE,222.12
INV100092,111,29-11-2025,SKU018,Perfume 50ml,Beauty & Personal Care,1,43.05,FALSE,43.05
INV100092,111,29-11-2025,SKU011,Non-Stick Frying Pan,Home & Kitchen,4,24.49,FALSE,97.96
INV100092,111,29-11-2025,SKU004,USB-C Charging Cable,Electronics,2,10.23,FALSE,20.46
INV100092,111,29-11-2025,SKU007,Women's Summer Dress,Apparel,3,38.98,FALSE,116.94
INV100093,111,07-12-2025,SKU014,Memory Foam Pillow,Home & Kitchen,2,28.03,FALSE,56.06
